Куршумли-ан,Cкoпje,42.0032939,21.4367598,false,,,
Музеј на Македонија,Cкoпje,42.003194,21.4363088,true,,,
Музеј на �?овремената уметно�?т,Cкoпje,42.0043142,21.4325172,true,msu-info@msuskopje.org.mk,Tu-Sa 10:00-15:00; Su 09:00-13:00,+389 2 3117734,https://msu.mk/home/
Магаза,Битола,41.0299956,21.3350427,false,,,
Спомен Ко�?турница,Веле�?,41.7232436,21.7892333,false,,,
�?ационална галерија „Даут-пашин амам“,Cкoпje,41.998911,21.4355586,true,contact@nationalgallery.mk,Tu-Su 10:00-18:00,+389 2 3133102,https://nationalgallery.mk/
Музеј на македон�?ката борба,Cкoпje,41.9982848,21.4329425,true,mmb@mmb.org.mk,Tu-Su 10:00-18:00,+389 2 3256 667,http://mmb.org.mk/w/
Меморијален центар на холокау�?тот на Евреите од Македонија,Cкoпje,41.9984101,21.4331205,false,,,+389 2 3122697,https://www.holocaustfund.org/
Музеј на Град Скопје,Cкoпje,41.9912181,21.4288883,true,,,+389 2 3114742,http://www.mgs.org.mk/
Спомен куќа на Мајка Тереза,Cкoпje,41.9939282,21.4307694,false,info@memorialhouseofmotherteresa.org,"Mo-Fr 09:00-20:00, Sa-Su 09:00-14:00",http://www.memorialhouseofmotherteresa.org/
11 Октомври 1941,Крушево,41.34503,21.5522424,false,,,
Музеј на �?ОВ,Крушево,41.3757107,21.2457177,false,,,
Македониум,Крушево,41.3775293,21.248402,false,,,
Залив на Ко�?ките,Охрид,40.9946609,20.7979124,false,,,
Музеј на Илинден�?кото во�?тание и Крушев�?ката Република,Крушево,41.3691154,21.2452388,false,,,+38970619597;+38970356621
�?рхеолошки музеј на Македонија,Cкoпje,41.9970517,21.4340186,true,,,
Ел Калем,Скопје,41.987037,21.287509,false,,,
Музеј Штип,Штип,41.736621,22.1894327,false,,,
Бези�?тен Штип,Штип,41.7375614,22.1924737,false,,,
Бегов амам,Тетово,42.0061214,20.967434,true,,,
�?ароден Музеј,Свети �?иколе,41.8649413,21.9418167,false,,,
Ловен Дом,Кочани,41.9150435,22.4138306,false,,,
Леарница,Крушево,41.3722171,21.246667,false,,,+38970356621;+38975202123
Спомен дом на Првата македон�?ка народноо�?лободителна бригада,Битола,41.3660204,20.6485817,false,,,
Францу�?ки воени гробишта,Битола,41.0408563,21.3606342,false,,,
Спомен-дом Блаже Коне�?ки,Прилеп,41.4493541,21.5583418,false,,,
Музеј на Битола,Битола,41.0234533,21.3359067,false,,,
Меморијален музеј �?ароден херој Кузман Јо�?ифо�?ки-Питу,Прилеп,41.3424673,21.5597305,false,,,
Музеј �?лек�?андар Македон�?ки,Прилеп,41.3429261,21.5591038,false,,,,https://www.muzejprilep.org.mk
Goce Delchev Memorial House,Битола,41.0268197,21.3320703,false,,,
Mémorial de Bitola,Битола,41.0410392,21.3585444,false,,,
Спомен-куќа на Татарчеви,Ре�?ен,41.0884486,21.0137165,false,,,
Природонаучен Музеј,Скопје,42.005709,21.4174425,true,,,
Музеј на град Берово,Берово,41.7077548,22.8566138,false,,,,http://www.berovo.gov.mk/index.php?option=com_content&view=article&id=76&Itemid=117
Музеј Галерија Кавадарци,Кавадарци,41.4343634,22.0163228,false,,,
Куќа на Робевци,Охрид,41.112361,20.7961416,false,,Tu-Su 09:00-14:00,,http://muzejohrid.mk/en/house-of-robev-family
Museum Teracotta,Кочани,41.8841902,22.5049622,false,,,
Музеј на Дојран,Дојран,41.1871817,22.7221034,false,,,
Д-р �?икола �?езлобин�?ки,Струга,41.1805738,20.6776078,false,,,
Спомен куќа на Страшо Пинџур,Кавадарци,41.4184594,22.0181317,false,,,
City Museum,Крива Паланка,42.2020133,22.3348959,false,,,
Музеј на град Делчево,Делчево,41.9664768,22.7729986,false,,,
Eтнолошки музеј,Ре�?ен,41.0240503,21.0506131,false,,,
Museum of Galichnik's cultural heritage,Галичник,41.5939237,20.652723,false,,,
Мак�?им Горки,Скопје,41.9962134,21.4291373,false,,,
Galerija Војвода Ва�?ил Чакаларов,Скопје,41.9989569,21.3865879,false,galerija.ra@gmail.com,,
Museum Strumica,Струмица,41.4354106,22.6364291,true,,,
Vardarski Rid,Гевгелија,41.1488082,22.5220207,true,,,
House of Lambeski,Охрид,41.1123275,20.7970433,true,,,
